Top pages,Clicks,Impressions,CTR,Position
https://www.johndcook.com/interpolator.html,605722,4416349,13.72%,15.4
https://www.johndcook.com/blog/2022/05/28/how-to-memorize-the-ascii-table/,36134,4778092,0.76%,4.77
https://www.johndcook.com/blog/2011/11/12/unicode-character-recognition/,16418,169714,9.67%,8.68
https://www.johndcook.com/blog/2022/05/07/day-of-the-week/,6628,222803,2.97%,10.92
https://www.johndcook.com/blog/r_excel_clipboard/,6493,98306,6.6%,13.49
https://www.johndcook.com/wavelength_to_RGB.html,6164,70633,8.73%,12.05
https://www.johndcook.com/how_big_is_a_degree.html,6024,921781,0.65%,8.71
https://www.johndcook.com/blog/2021/05/07/trick-for-2x2-eigenvalues/,5350,128243,4.17%,13.12
https://www.johndcook.com/blog/2020/02/13/runge-kutta-methods/,4700,79354,5.92%,14.98
https://www.johndcook.com/blog/2018/07/21/fraktur-math/,4651,184295,2.52%,12.4
https://www.johndcook.com/blog/2022/05/17/element-abbreviation-patterns/,4411,775376,0.57%,10.65
https://www.johndcook.com/blog/2021/09/09/double-triple-quadruple/,4176,1246466,0.34%,8.72
https://www.johndcook.com/blog/2022/08/16/python-pickle/,3230,120943,2.67%,17.14
https://www.johndcook.com/blog/2018/05/05/svd/,3120,80575,3.87%,20.78
https://www.johndcook.com/blog/,2968,46111,6.44%,27.19
https://www.johndcook.com/blog/2016/02/17/analyzing-an-fm-signal/,2790,57510,4.85%,21.44
https://www.johndcook.com/rational_approximation.html,2721,37674,7.22%,15.18
https://www.johndcook.com/blog/2024/03/20/md5-hash-collision/,2690,62755,4.29%,10.45
https://www.johndcook.com/quadratic_interpolator.html,2608,66823,3.9%,11.07
https://www.johndcook.com/blog/2022/01/12/mm2/,2524,163664,1.54%,12.8
https://www.johndcook.com/blog/2023/09/28/macos-unicode/,2485,77935,3.19%,9.81
https://www.johndcook.com/blog/2009/09/14/latex-multi-part-definitions/,2374,76342,3.11%,17.24
https://www.johndcook.com/blog/2019/05/20/cosmic-rays-flipping-bits/,2352,95193,2.47%,8.45
https://www.johndcook.com/blog/2019/07/14/discriminant-of-a-cubic/,2333,176576,1.32%,21.96
https://www.johndcook.com/blog/2024/09/07/body-roundness-index/,2324,82268,2.82%,11.34
https://www.johndcook.com/blog/2022/11/02/elliptic-arc-length/,2304,56154,4.1%,19.45
https://www.johndcook.com/blog/2019/09/09/how-utf-8-works/,2282,133139,1.71%,23.68
https://www.johndcook.com/blog/spherical_trigonometry/,2246,171959,1.31%,15.27
https://www.johndcook.com/unicode_latex.html,2239,22025,10.17%,12.96
https://www.johndcook.com/blog/norm-dist-bounds/,2101,51387,4.09%,28.34
https://www.johndcook.com/blog/2021/08/16/initial-letter-frequency/,2095,190534,1.1%,14.7
https://www.johndcook.com/blog/2023/07/05/convert-latex-to-microsoft-word/,1981,129325,1.53%,10.99
https://www.johndcook.com/blog/2022/03/14/phone-tones-in-musical-notation/,1951,87159,2.24%,19.04
https://www.johndcook.com/blog/2021/09/11/much-less-than-much-greater-than/,1909,363114,0.53%,26.87
https://www.johndcook.com/blog/2020/02/15/gauss-lobatto-quadrature/,1881,21561,8.72%,12.73
https://www.johndcook.com/blog/2020/03/27/conditional-independence-notation/,1759,138665,1.27%,11.55
https://www.johndcook.com/blog/2023/08/27/intersect-circles/,1711,187627,0.91%,18.23
https://www.johndcook.com/blog/2021/06/21/reversed-cauchy-schwarz-inequality/,1672,20718,8.07%,32.35
https://www.johndcook.com/blog/moments/,1646,110471,1.49%,12.32
https://www.johndcook.com/blog/2020/08/20/english-vowel-sounds/,1566,62646,2.5%,21.75
https://www.johndcook.com/blog/2019/01/24/reversing-an-md5-hash/,1522,97510,1.56%,10
https://www.johndcook.com/blog/2020/11/18/rotating-symbols-in-latex/,1519,49473,3.07%,19.65
