type,fact
hn,"johndcook.com has been submitted to Hacker News 1,266 times over 17 years — roughly one submission every 5 days since 2009."
hn,"Total Hacker News impact: 25,486 upvotes and 10,757 comments across all submissions — an average of 20 points per story."
hn,"4 posts exceeded 500 points on HN (likely #1): 'Organizing complexity' (742), 'Software reuse' (667), '987654321/123456789' (637), 'Rule of succession' (575)."
hn,'Organizing complexity is the most important skill in software development' — the blog's #1 HN hit with 742 points and 276 comments.
hn,ColinWright has submitted 112 johndcook posts to HN — a super-fan who discovered the blog in 2009 and never stopped sharing.
hn,"John himself has submitted only 2 of his own posts to HN. The other 1,264 submissions came from readers."
hn,"'Pretending OOP Never Happened' sparked the most debate: 339 comments on HN, the most-discussed johndcook post ever."
hn,72 johndcook posts have exceeded 100 points on HN. 20 exceeded 200 points. The blog is a consistent HN front-page performer.
hn,2011 was peak HN attention: 65 submissions that year alone. 2025 is on track to match it with 56 submissions so far.
hn,"The median johndcook HN submission gets 4 points — but the distribution is extremely long-tailed, with outliers at 742."
