Top pages,Clicks,Impressions,CTR
https://www.johndcook.com/blog/2025/05/24/dungeons-dragons-and-numbers/,3282,53563,6.13%
https://www.johndcook.com/blog/2025/08/17/factoring-stencils/,1350,63015,2.14%
https://www.johndcook.com/blog/2025/10/23/smith-chart/,984,22355,4.4%
https://www.johndcook.com/blog/2025/08/15/very-long-string-to-int/,665,18934,3.51%
https://www.johndcook.com/blog/2025/07/07/legendre-polynomials/,574,25472,2.25%
https://www.johndcook.com/blog/2025/08/15/american-flag-prime/,559,21823,2.56%
https://www.johndcook.com/blog/2025/03/30/fundamental-solution/,518,14960,3.46%
https://www.johndcook.com/blog/2025/09/10/mental-rng/,481,9376,5.13%
https://www.johndcook.com/blog/2025/10/31/smaller-qr-codes/,445,27503,1.62%
https://www.johndcook.com/blog/2025/07/14/continental-divide/,397,25971,1.53%
https://www.johndcook.com/blog/2025/10/08/diffeq-donut/,380,12851,2.96%
https://www.johndcook.com/blog/2025/03/31/minimal-surface-solutions/,372,17293,2.15%
https://www.johndcook.com/blog/2025/10/29/estimating-log-base-2/,369,22771,1.62%
https://www.johndcook.com/blog/2025/05/04/the-first-fork/,367,10938,3.36%
https://www.johndcook.com/blog/2025/11/24/tv-tuned-to-a-dead-channel/,364,7223,5.04%
https://www.johndcook.com/blog/2025/07/13/all-pieces-on-a-small-chessboard/,344,8821,3.9%
https://www.johndcook.com/blog/2025/11/09/rolling-correlation/,279,6842,4.08%
https://www.johndcook.com/blog/2025/06/04/persistence/,272,14002,1.94%
https://www.johndcook.com/blog/2025/07/17/multiples-and-powers-mod-1/,258,8241,3.13%
https://www.johndcook.com/blog/2025/09/11/random-inside-triangle/,255,5178,4.92%
https://www.johndcook.com/blog/2025/10/12/invert-mobius/,245,7462,3.28%
https://www.johndcook.com/blog/2025/07/31/roundest-regular-solid/,243,9080,2.68%
https://www.johndcook.com/blog/2025/02/23/complex-golden-convergence/,210,12414,1.69%
https://www.johndcook.com/blog/2025/11/02/impedance-and-trianglular-numbers/,172,11236,1.53%
https://www.johndcook.com/blog/2024/12/09/coiled-logarithmic-graph/,163,12926,1.26%
https://www.johndcook.com/blog/2025/11/10/brownian-zeta/,129,4223,3.05%
https://www.johndcook.com/blog/2025/05/24/frameworks/,111,1645,6.75%
https://www.johndcook.com/blog/2025/05/04/spacing-between-branches/,75,3689,2.03%
https://www.johndcook.com/blog/2025/08/16/randomly-generated-dragon/,73,2459,2.97%
https://www.johndcook.com/blog/2025/05/21/runge-spikes/,69,1668,4.14%
https://www.johndcook.com/blog/2025/04/12/logarithmic-sawtooth/,68,5506,1.24%
https://www.johndcook.com/blog/2025/05/04/island-of-stability/,58,1100,5.27%
https://www.johndcook.com/blog/2025/03/06/gelu/,56,2102,2.66%
https://www.johndcook.com/blog/2025/06/25/patching-functions-together/,55,2294,2.4%
https://www.johndcook.com/blog/2025/05/03/logistic-map-convergence/,50,1274,3.92%
https://www.johndcook.com/blog/2025/09/28/extrapolating-quantum-factoring/,47,1843,2.55%
https://www.johndcook.com/blog/2024/12/18/erf-approx/,45,1848,2.44%
https://www.johndcook.com/blog/2025/10/08/zcash-price-doubled/,45,967,4.65%
https://www.johndcook.com/blog/2025/06/24/log-ish/,34,1135,3%
https://www.johndcook.com/blog/2024/12/17/cos-key-fixedpoint/,28,2073,1.35%
https://www.johndcook.com/blog/2025/02/12/chebyshev-third-fourth/,28,920,3.04%
https://www.johndcook.com/blog/2025/08/13/tiny-jubjub/,27,1012,2.67%
https://www.johndcook.com/blog/2025/05/22/wilkinsons-polynomial/,24,365,6.58%
https://www.johndcook.com/blog/2025/07/18/powers-of-3-sqrt2/,22,1567,1.4%
https://www.johndcook.com/blog/2025/03/05/on-making-databases-run-faster/,22,592,3.72%
https://www.johndcook.com/blog/2025/03/29/looking-at-your-data/,20,2622,0.76%
https://www.johndcook.com/blog/2025/09/08/mandelbrot-area-and-escape-times/,20,1204,1.66%
https://www.johndcook.com/blog/2025/08/06/making-2d-1d/,17,760,2.24%
https://www.johndcook.com/blog/2025/11/02/anti-smith-chart/,11,446,2.47%
