Country,Clicks,Impressions,CTR
United States,7772,173881,4.47%
India,1844,127594,1.45%
United Kingdom,1104,28820,3.83%
Philippines,353,25782,1.37%
Australia,347,8601,4.03%
Canada,329,9381,3.51%
Iran,191,8637,2.21%
Pakistan,190,11635,1.63%
Nigeria,185,8929,2.07%
Israel,170,4391,3.87%
South Africa,162,6618,2.45%
Germany,158,4075,3.88%
Hong Kong,116,3352,3.46%
Indonesia,99,4288,2.31%
Netherlands,84,1858,4.52%
Kenya,83,4089,2.03%
Bangladesh,75,5219,1.44%
Italy,71,1801,3.94%
Brazil,64,1503,4.26%
Malaysia,55,4545,1.21%
Ghana,51,2602,1.96%
Japan,51,1156,4.41%
Egypt,48,2625,1.83%
Singapore,47,1778,2.64%
Taiwan,42,1425,2.95%
Romania,42,819,5.13%
Sri Lanka,41,2801,1.46%
France,41,1376,2.98%
Ethiopia,40,1995,2.01%
Thailand,38,1526,2.49%
Nepal,37,2147,1.72%
Sweden,37,761,4.86%
United Arab Emirates,34,2371,1.43%
Spain,33,718,4.6%
Saudi Arabia,31,2157,1.44%
Zambia,31,2070,1.5%
Mexico,30,798,3.76%
Ireland,29,729,3.98%
Switzerland,27,734,3.68%
Poland,27,572,4.72%
Uganda,26,1525,1.7%
Greece,26,737,3.53%
Russia,25,615,4.07%
Morocco,24,637,3.77%
New Zealand,23,720,3.19%
Vietnam,23,477,4.82%
Myanmar (Burma),22,1099,2%
Turkey,22,1051,2.09%
Austria,20,531,3.77%
Denmark,19,433,4.39%
Portugal,19,360,5.28%
Belgium,17,477,3.56%
Serbia,17,390,4.36%
China,15,529,2.84%
Algeria,14,579,2.42%
South Korea,14,352,3.98%
Finland,14,273,5.13%
Rwanda,12,386,3.11%
Zimbabwe,11,737,1.49%
Croatia,11,184,5.98%
Malawi,10,567,1.76%
Colombia,10,349,2.87%
Hungary,10,222,4.5%
Lebanon,9,512,1.76%
Bulgaria,9,331,2.72%
Tanzania,8,757,1.06%
Czechia,8,279,2.87%
Iraq,7,613,1.14%
Oman,7,425,1.65%
Cambodia,6,669,0.9%
Qatar,6,349,1.72%
Kuwait,6,346,1.73%
Cameroon,6,282,2.13%
Unknown Region,5,423,1.18%
Jordan,5,298,1.68%
Norway,4,257,1.56%
Bahrain,4,156,2.56%
Ukraine,4,93,4.3%
Namibia,3,235,1.28%
Lesotho,3,149,2.01%
Trinidad & Tobago,3,142,2.11%
Slovakia,3,105,2.86%
Argentina,3,79,3.8%
Lithuania,3,67,4.48%
Botswana,2,297,0.67%
Papua New Guinea,1,260,0.38%
Georgia,1,96,1.04%
Maldives,1,92,1.09%
Tunisia,1,84,1.19%
Mongolia,1,61,1.64%
Swaziland,1,51,1.96%
Brunei,1,42,2.38%
South Sudan,1,42,2.38%
Liberia,1,39,2.56%
Slovenia,1,36,2.78%
Malta,1,34,2.94%
Chile,1,30,3.33%
Puerto Rico,1,29,3.45%
Gambia,1,13,7.69%
Palestine,1,12,8.33%
Belize,1,11,9.09%
Luxembourg,1,11,9.09%
Montenegro,1,11,9.09%
Jamaica,0,171,0%
Albania,0,109,0%
Cyprus,0,78,0%
Mauritius,0,78,0%
Somalia,0,69,0%
Syria,0,46,0%
Bosnia & Herzegovina,0,43,0%
Guyana,0,42,0%
Afghanistan,0,39,0%
Estonia,0,38,0%
Kazakhstan,0,27,0%
Armenia,0,26,0%
Sierra Leone,0,26,0%
Uzbekistan,0,16,0%
Azerbaijan,0,15,0%
Macedonia,0,13,0%
Ecuador,0,12,0%
Libya,0,12,0%
