id,type,fact,source_link,date,slug
1,rarity,"The term 'GDPR' appears in exactly 9 posts, spanning from 2018 to 2019.",https://www.johndcook.com/blog/2019/09/25/right-to-be-forgotten/,,
2,rarity,"The term 'CCPA' appears in exactly 10 posts, spanning from 2019 to 2020.",https://www.johndcook.com/blog/2020/11/04/expert-determination-for-ccpa/,,
3,rarity,"The term 'neural network' appears in exactly 10 posts, spanning from 2016 to 2025.",https://www.johndcook.com/blog/2025/01/16/can-ai-models-reason-is-data-all-you-need-2/,,
4,rarity,"The term 'chi-squared' appears in exactly 7 posts, spanning from 2008 to 2025.",https://www.johndcook.com/blog/2025/04/12/exact-benford/,,
5,rarity,"The word 'Maclaurin' appears in only one blog post: ""Maclaurin’s inequality"" on October 10, 2023.",https://www.johndcook.com/blog/2023/10/10/maclaurins-inequality/,2023-10-10T20:12:29,maclaurins-inequality
6,rarity,"The term 'R language' appears in exactly 8 posts, spanning from 2008 to 2016.",https://www.johndcook.com/blog/2016/10/18/speeding-up-r-code/,,
7,rarity,"The term 'MATLAB' appears in exactly 6 posts, spanning from 2009 to 2025.",https://www.johndcook.com/blog/2025/01/02/carnival-of-mathematics-235/,,
8,rarity,"The term 'C++' appears in only 3 posts across the entire blog: ""A couple Python-like features in C++11"" (2011), ""Maybe C++ hasn’t jumped the shark after all"" (2011), ""Has C++ jumped the shark?"" (2009).",https://www.johndcook.com/blog/2011/08/17/a-couple-python-like-features-in-c11/,2011-08-17T06:57:53,a-couple-python-like-features-in-c11
9,rarity,"The term 'MD5' appears in exactly 7 posts, spanning from 2019 to 2024.",https://www.johndcook.com/blog/2024/09/30/identifying-hash-algorithms/,,
10,rarity,"The term 'ECDSA' appears in exactly 4 posts, spanning from 2018 to 2019.",https://www.johndcook.com/blog/2019/05/23/nsa-recommendations/,,
11,rarity,"The term 'FDA' appears in only 2 posts across the entire blog: ""National Drug Code (NDC)"" (2019), ""Bugs in food and software"" (2008).",https://www.johndcook.com/blog/2019/09/03/ndc-national-drug-code/,2019-09-03T14:53:29,ndc-national-drug-code
12,rarity,"The word 'survival analysis' appears in only one blog post: ""Weibull distribution and Benford’s law"" on May 02, 2017.",https://www.johndcook.com/blog/2017/05/02/weibull-distribution-and-benfords-law/,2017-05-02T07:00:35,weibull-distribution-and-benfords-law
13,rarity,"The word 'freelance' appears in only one blog post: ""Transaction costs"" on November 15, 2009.",https://www.johndcook.com/blog/2009/11/15/transaction-costs/,2009-11-15T17:33:45,transaction-costs
14,rarity,"The word 'pickle' appears in only one blog post: ""Dump a pickle file to a readable text file"" on August 16, 2022.",https://www.johndcook.com/blog/2022/08/16/python-pickle/,2022-08-16T13:40:17,python-pickle
15,rarity,"The term 'pancake' appears in only 3 posts across the entire blog: ""Real-time analytics"" (2020), ""Curvature of an ellipsoid"" (2019), ""Flattest US states"" (2018).",https://www.johndcook.com/blog/2020/10/19/real-time-analytics/,2020-10-19T08:50:18,real-time-analytics
16,rarity,"The term 'pizza' appears in only 2 posts across the entire blog: ""Detecting fraud with the GRIM test"" (2023), ""Roman numeral puzzle"" (2012).",https://www.johndcook.com/blog/2023/10/10/grim-test/,2023-10-10T09:51:10,grim-test
17,rarity,"The term 'tea' appears in exactly 7 posts, spanning from 2008 to 2025.",https://www.johndcook.com/blog/2025/10/05/memorizing-a-list-of-seed-words/,,
18,rarity,"The term 'elephant' appears in exactly 8 posts, spanning from 2008 to 2023.",https://www.johndcook.com/blog/2023/02/02/lagrange-multiplier/,,
19,rarity,"The term 'dinosaur' appears in only 2 posts across the entire blog: ""Chaotic versus random"" (2012), ""A third of dinosaur species never existed?"" (2009).",https://www.johndcook.com/blog/2012/04/24/chaos-vs-randomness/,2012-04-24T06:00:52,chaos-vs-randomness
20,rarity,"The term 'Bach' appears in exactly 8 posts, spanning from 2009 to 2023.",https://www.johndcook.com/blog/2023/01/14/foreshadowing-page-rank/,,
21,rarity,"The term 'Mozart' appears in exactly 5 posts, spanning from 2008 to 2024.",https://www.johndcook.com/blog/2024/11/05/copernicus/,,
22,rarity,"The term 'holomorphic' appears in exactly 4 posts, spanning from 2019 to 2023.",https://www.johndcook.com/blog/2023/07/28/harmonic-conjugate/,,
23,rarity,"The term 'meromorphic' appears in exactly 6 posts, spanning from 2009 to 2023.",https://www.johndcook.com/blog/2023/10/06/addition-theorems/,,
24,rarity,"The term 'residue' appears in exactly 9 posts, spanning from 2012 to 2025.",https://www.johndcook.com/blog/2025/08/17/factoring-stencils/,,
25,rarity,"The term 'Hilbert space' appears in exactly 9 posts, spanning from 2008 to 2025.",https://www.johndcook.com/blog/2025/04/20/fredholm-alternative/,,
26,rarity,"The term 'Banach space' appears in exactly 6 posts, spanning from 2013 to 2025.",https://www.johndcook.com/blog/2025/04/18/topological-abelian-groups/,,
27,rarity,"The term 'metric space' appears in only 3 posts across the entire blog: ""Topological Abelian Groups"" (2025), ""Fixed points"" (2019), ""Kepler and the contraction mapping theorem"" (2018).",https://www.johndcook.com/blog/2025/04/18/topological-abelian-groups/,2025-04-18T09:48:25,topological-abelian-groups
28,rarity,"The term 'manifold' appears in exactly 8 posts, spanning from 2015 to 2025.",https://www.johndcook.com/blog/2025/04/20/fredholm-index/,,
29,rarity,"The term 'Hessian' appears in only 3 posts across the entire blog: ""Computing smooth max without overflow"" (2018), ""Big derivatives"" (2018), ""Example of not inverting a matrix: optimization"" (2012).",https://www.johndcook.com/blog/2018/05/29/smooth-max/,2018-05-29T20:31:16,smooth-max
30,rarity,"The term 'Jacobian' appears in exactly 5 posts, spanning from 2016 to 2025.",https://www.johndcook.com/blog/2025/09/12/conformal-image-area/,,
31,rarity,"The term 'eigenvector' appears in exactly 9 posts, spanning from 2015 to 2025.",https://www.johndcook.com/blog/2025/05/21/drazin-pseudoinverse/,,
32,rarity,"The term 'null space' appears in only 3 posts across the entire blog: ""Effective graph resistance"" (2025), ""Fredholm Alternative"" (2025), ""Nicholas Higham on Mathematics in Color"" (2015).",https://www.johndcook.com/blog/2025/05/21/effective-graph-resistance/,2025-05-21T10:30:11,effective-graph-resistance
33,rarity,"The term 'row space' appears in only 2 posts across the entire blog: ""Self-orthogonal vectors and coding"" (2022), ""Golay codes"" (2019).",https://www.johndcook.com/blog/2022/02/07/self-orthogonal-vectors-and-coding/,2022-02-07T11:05:25,self-orthogonal-vectors-and-coding
34,rarity,"The word 'unitary' appears in only one blog post: ""Computing SVD and pseudoinverse"" on May 05, 2018.",https://www.johndcook.com/blog/2018/05/05/svd/,2018-05-05T15:37:56,svd
35,rarity,"The term 'Hermitian' appears in only 3 posts across the entire blog: ""Convex function of diagonals and eigenvalues"" (2020), ""Hadamard product"" (2018), ""Moore-Penrose pseudoinverse is not an adjoint"" (2018).",https://www.johndcook.com/blog/2020/06/18/convex-function-eigenvalues/,2020-06-18T09:45:26,convex-function-eigenvalues
36,rarity,"The term 'positive definite' appears in only 2 posts across the entire blog: ""Addition formulas for Bessel functions"" (2013), ""Log concave functions"" (2009).",https://www.johndcook.com/blog/2013/08/03/addition-formulas-for-bessel-functions/,2013-08-03T20:51:17,addition-formulas-for-bessel-functions
37,rarity,"The term 'SVD' appears in exactly 10 posts, spanning from 2013 to 2025.",https://www.johndcook.com/blog/2025/05/14/embed-project-invert/,,
38,rarity,"The term 'LU' appears in exactly 4 posts, spanning from 2009 to 2024.",https://www.johndcook.com/blog/2024/02/06/is-low-precision-arithmetic-safe/,,
39,rarity,"The term 'Jordan form' appears in only 2 posts across the entire blog: ""Drazin pseudoinverse"" (2025), ""Jordan normal form: 1’s above or below diagonal?"" (2023).",https://www.johndcook.com/blog/2025/05/21/drazin-pseudoinverse/,2025-05-21T12:39:21,drazin-pseudoinverse
40,rarity,"The term 'condition number' appears in only 2 posts across the entire blog: ""Summing an array of floating point numbers"" (2019), ""Making a singular matrix non-singular"" (2012).",https://www.johndcook.com/blog/2019/11/05/kahan/,2019-11-05T08:52:45,kahan
41,rarity,"The term 'ill-conditioned' appears in only 2 posts across the entire blog: ""Summing an array of floating point numbers"" (2019), ""Making a singular matrix non-singular"" (2012).",https://www.johndcook.com/blog/2019/11/05/kahan/,2019-11-05T08:52:45,kahan
42,rarity,"The term 'well-conditioned' appears in only 2 posts across the entire blog: ""Summing an array of floating point numbers"" (2019), ""Making a singular matrix non-singular"" (2012).",https://www.johndcook.com/blog/2019/11/05/kahan/,2019-11-05T08:52:45,kahan
43,rarity,"The term 'root finding' appears in exactly 5 posts, spanning from 2018 to 2024.",https://www.johndcook.com/blog/2024/03/22/laguerres-root-finding-method/,,
44,rarity,"The term 'extrapolation' appears in exactly 10 posts, spanning from 2012 to 2025.",https://www.johndcook.com/blog/2025/09/28/extrapolating-quantum-factoring/,,
45,rarity,"The term 'Hermite' appears in exactly 10 posts, spanning from 2009 to 2025.",https://www.johndcook.com/blog/2025/07/07/legendre-polynomials/,,
46,rarity,"The term 'Laguerre' appears in exactly 6 posts, spanning from 2012 to 2025.",https://www.johndcook.com/blog/2025/05/04/the-first-fork/,,
47,rarity,"The word 'orthogonal polynomial' appears in only one blog post: ""Generalization of power polynomials"" on January 28, 2020.",https://www.johndcook.com/blog/2020/01/28/mittag-leffler-polynomials/,2020-01-28T06:25:19,mittag-leffler-polynomials
48,rarity,"The term 'Simpson' appears in exactly 6 posts, spanning from 2008 to 2023.",https://www.johndcook.com/blog/2023/08/25/quadrature-impossibility/,,
49,rarity,"The term 'Gaussian quadrature' appears in exactly 6 posts, spanning from 2008 to 2025.",https://www.johndcook.com/blog/2025/07/07/legendre-polynomials/,,
50,rarity,"The term 'Euler method' appears in exactly 5 posts, spanning from 2020 to 2021.",https://www.johndcook.com/blog/2021/07/01/oscillatory-solutions/,,
51,rarity,"The term 'Adams' appears in exactly 5 posts, spanning from 2010 to 2025.",https://www.johndcook.com/blog/2025/02/18/the-buenos-aires-constant/,,
52,rarity,"The term 'finite element' appears in exactly 8 posts, spanning from 2010 to 2024.",https://www.johndcook.com/blog/2024/08/11/editing-without-an-editor/,,
53,rarity,"The word 'finite volume' appears in only one blog post: ""The bucket that can’t hold enough paint to paint itself"" on June 11, 2020.",https://www.johndcook.com/blog/2020/06/11/gabriels-horn/,2020-06-11T11:17:42,gabriels-horn
54,rarity,"The word 'variational' appears in only one blog post: ""Cryptography, hydrodynamics, and celestial mechanics"" on October 21, 2022.",https://www.johndcook.com/blog/2022/10/21/math-origins/,2022-10-21T11:15:07,math-origins
55,rarity,"The term 'wave equation' appears in exactly 4 posts, spanning from 2013 to 2021.",https://www.johndcook.com/blog/2021/06/14/laplacian/,,
56,rarity,"The term 'heat equation' appears in exactly 9 posts, spanning from 2016 to 2024.",https://www.johndcook.com/blog/2024/01/18/separable-function/,,
57,rarity,"The word 'Laplace equation' appears in only one blog post: ""Vibrating circular membranes"" on June 12, 2021.",https://www.johndcook.com/blog/2021/06/12/vibrating-circular-membranes/,2021-06-12T12:20:31,vibrating-circular-membranes
58,rarity,"The term 'Navier-Stokes' appears in only 3 posts across the entire blog: ""Mathematics of medical plastics"" (2016), ""Miscellaneous math resources"" (2015), ""Engineering a waterpark"" (2014).",https://www.johndcook.com/blog/2016/02/03/mathematics-of-medical-plastics/,2016-02-03T10:34:02,mathematics-of-medical-plastics
59,rarity,"The term 'Lorenz' appears in exactly 7 posts, spanning from 2018 to 2022.",https://www.johndcook.com/blog/2022/08/07/seconds-to-hours/,,
60,rarity,"The term 'attractor' appears in exactly 7 posts, spanning from 2018 to 2025.",https://www.johndcook.com/blog/2025/05/03/logistic-map-convergence/,,
61,rarity,"The word 'Julia set' appears in only one blog post: ""Everywhere chaotic map on the sphere"" on October 19, 2021.",https://www.johndcook.com/blog/2021/10/19/latte-on-sphere/,2021-10-19T09:01:55,latte-on-sphere
62,rarity,"The term 'Brownian motion' appears in exactly 10 posts, spanning from 2012 to 2025.",https://www.johndcook.com/blog/2025/11/10/brownian-zeta/,,
63,rarity,"The term 'diffusion' appears in exactly 4 posts, spanning from 2008 to 2025.",https://www.johndcook.com/blog/2025/02/20/standing-with-intellectual-giants/,,
64,rarity,"The term 'drift' appears in exactly 7 posts, spanning from 2008 to 2025.",https://www.johndcook.com/blog/2025/04/21/gregorian-backwards/,,
65,rarity,"The term 'law of large numbers' appears in exactly 4 posts, spanning from 2008 to 2010.",https://www.johndcook.com/blog/2010/02/25/the-law-of-medium-numbers/,,
66,rarity,"The term 'CLT' appears in exactly 7 posts, spanning from 2008 to 2025.",https://www.johndcook.com/blog/2025/05/31/pascals-ellipse/,,
67,rarity,"The term 'hypothesis test' appears in only 3 posts across the entire blog: ""Can you look at experimental results along the way or not?"" (2024), ""Fat tails and the t test"" (2019), ""Hypothesis testing and number theory"" (2016).",https://www.johndcook.com/blog/2024/05/28/alpha-spending/,2024-05-28T10:43:38,alpha-spending
68,rarity,"The term 'p-value' appears in exactly 8 posts, spanning from 2008 to 2020.",https://www.johndcook.com/blog/2020/02/22/chacha-rng-with-fewer-rounds/,,
69,rarity,"The term 'effect size' appears in only 2 posts across the entire blog: ""Sample size calculation"" (2020), ""Continuum between anecdote and data"" (2016).",https://www.johndcook.com/blog/2020/06/25/sample-size-calculation/,2020-06-25T11:31:07,sample-size-calculation
70,rarity,"The term 'causation' appears in only 2 posts across the entire blog: ""COVID19 mortality per capita by state"" (2020), ""Subtle variation on gaining weight to become taller"" (2010).",https://www.johndcook.com/blog/2020/07/08/covid19-mortality-per-capita-by-state/,2020-07-08T11:17:14,covid19-mortality-per-capita-by-state
71,rarity,"The term 'confounding' appears in exactly 4 posts, spanning from 2008 to 2021.",https://www.johndcook.com/blog/2021/03/23/revealed-preferences/,,
72,rarity,"The term 'ANOVA' appears in only 2 posts across the entire blog: ""Testing Rupert Miller’s suspicion"" (2019), ""Cepstrum, quefrency, and pitch"" (2016).",https://www.johndcook.com/blog/2019/09/18/kstest-shapiro/,2019-09-18T16:15:29,kstest-shapiro
73,rarity,"The term 't-test' appears in exactly 6 posts, spanning from 2018 to 2024.",https://www.johndcook.com/blog/2024/09/19/cauchy-distribution/,,
74,rarity,"The term 'Spearman' appears in only 2 posts across the entire blog: ""Distribution of coordinates on a sphere"" (2025), ""Sorting Roman numerals"" (2025).",https://www.johndcook.com/blog/2025/10/18/coordinates-on-sphere/,2025-10-18T20:24:29,coordinates-on-sphere
75,rarity,"The term 'Kendall' appears in exactly 6 posts, spanning from 2018 to 2025.",https://www.johndcook.com/blog/2025/10/18/coordinates-on-sphere/,,
76,rarity,"The term 'maximum likelihood' appears in only 3 posts across the entire blog: ""Estimating the exponent of discrete power law data"" (2015), ""Statistical dead end"" (2010), ""Four characterizations of the normal distribution"" (2008).",https://www.johndcook.com/blog/2015/11/24/estimating-the-exponent-of-discrete-power-law-data/,2015-11-24T07:00:15,estimating-the-exponent-of-discrete-power-law-data
77,rarity,"The term 'MLE' appears in only 2 posts across the entire blog: ""Estimating the exponent of discrete power law data"" (2015), ""Avoiding underflow in Bayesian computations"" (2012).",https://www.johndcook.com/blog/2015/11/24/estimating-the-exponent-of-discrete-power-law-data/,2015-11-24T07:00:15,estimating-the-exponent-of-discrete-power-law-data
78,rarity,"The term 'Bayesian inference' appears in exactly 9 posts, spanning from 2009 to 2017.",https://www.johndcook.com/blog/2017/11/13/beta-binomial-information/,,
79,rarity,"The term 'MCMC' appears in exactly 8 posts, spanning from 2011 to 2024.",https://www.johndcook.com/blog/2024/05/06/mcmc-coupon-collector/,,
80,rarity,"The term 'maximization' appears in only 2 posts across the entire blog: ""Learning languages with the help of algorithms"" (2025), ""Triangle circle maximization problem"" (2024).",https://www.johndcook.com/blog/2025/09/17/learning-languages-with-the-help-of-algorithms/,2025-09-17T15:35:42,learning-languages-with-the-help-of-algorithms
81,rarity,"The term 'latent' appears in only 3 posts across the entire blog: ""Floor, ceiling, bracket"" (2021), ""Database anonymization for testing"" (2017), ""Fault-tolerant systems are faulty"" (2012).",https://www.johndcook.com/blog/2021/04/15/floor-ceiling-bracket/,2021-04-15T09:09:56,floor-ceiling-bracket
82,rarity,"The term 'clustering' appears in exactly 7 posts, spanning from 2009 to 2025.",https://www.johndcook.com/blog/2025/05/08/why-do-llms-have-emergent-properties/,,
83,rarity,"The word 'k-means' appears in only one blog post: ""Why do LLMs have emergent properties?"" on May 08, 2025.",https://www.johndcook.com/blog/2025/05/08/why-do-llms-have-emergent-properties/,2025-05-08T11:50:13,why-do-llms-have-emergent-properties
84,rarity,"The word 'PCA' appears in only one blog post: ""Areal coordinates and ellipse area"" on October 09, 2024.",https://www.johndcook.com/blog/2024/10/09/areal-coordinates-and-ellipse-area/,2024-10-09T19:11:54,areal-coordinates-and-ellipse-area
