Country,Clicks,Impressions,CTR,Position
United States,387554,22420586,1.73%,14.62
India,123434,4142855,2.98%,14.78
Canada,69622,1969821,3.53%,12.85
United Kingdom,52281,2777241,1.88%,16.78
Australia,38603,1155006,3.34%,12.28
Philippines,28469,1012874,2.81%,14.06
Germany,25369,1078473,2.35%,15.04
Indonesia,19117,605293,3.16%,19.54
Romania,17103,171323,9.98%,15.05
Malaysia,15272,317885,4.8%,15.75
France,13123,590256,2.22%,18.33
Netherlands,11173,461432,2.42%,14.41
Thailand,11149,239608,4.65%,14.34
Turkey,9741,394080,2.47%,25.42
Brazil,9479,2089869,0.45%,52
Singapore,9458,356953,2.65%,10.56
Italy,9256,436689,2.12%,20.1
United Arab Emirates,8674,139270,6.23%,14.57
Spain,7834,358285,2.19%,20.66
South Africa,6798,312169,2.18%,23.99
Hong Kong,6500,212466,3.06%,9.02
Sweden,6450,269342,2.39%,12.14
South Korea,6093,379533,1.61%,28.1
Mexico,5913,385947,1.53%,26.92
New Zealand,5811,184294,3.15%,13.74
Poland,5767,330607,1.74%,15.6
Switzerland,5651,200025,2.83%,11.78
Saudi Arabia,5464,156235,3.5%,25.81
Russia,5243,571583,0.92%,37.44
Japan,5239,260638,2.01%,17.27
Israel,5205,221416,2.35%,10.83
Pakistan,5022,336793,1.49%,18.05
Greece,4697,116002,4.05%,15.68
Norway,4603,139564,3.3%,11.55
Taiwan,4154,220728,1.88%,17.48
Bangladesh,4082,201465,2.03%,20.45
Belgium,4067,155935,2.61%,12.7
Denmark,4055,156862,2.59%,11.79
Iran,4052,96099,4.22%,11.9
Vietnam,4048,376705,1.07%,31.68
Portugal,3710,118220,3.14%,15.57
Ireland,3542,179827,1.97%,18.68
Egypt,3531,179522,1.97%,19.91
Austria,3485,145481,2.4%,11.2
Finland,3431,136843,2.51%,11.24
Hungary,3123,110683,2.82%,13.6
Czechia,2685,135589,1.98%,13.85
Serbia,2543,64805,3.92%,17.12
Colombia,2536,157370,1.61%,30.25
Croatia,2402,62065,3.87%,10.89
Jordan,2206,50859,4.34%,22.84
China,2190,79982,2.74%,8.23
Puerto Rico,2128,28745,7.4%,16.29
Sri Lanka,2067,61482,3.36%,13.41
Ethiopia,1963,40468,4.85%,18.42
Lithuania,1931,54980,3.51%,25.05
Mongolia,1930,18781,10.28%,15.22
Nigeria,1916,131969,1.45%,14.03
Argentina,1786,229094,0.78%,35.25
Nepal,1766,75841,2.33%,23.04
Ukraine,1743,166738,1.05%,34.06
Qatar,1611,31997,5.03%,17.82
Bulgaria,1559,73227,2.13%,17.41
Slovenia,1528,39143,3.9%,12.2
Chile,1507,106457,1.42%,26.78
Lebanon,1376,35027,3.93%,14.24
Oman,1362,23042,5.91%,23.29
Latvia,1204,30344,3.97%,17.79
Morocco,1173,98183,1.19%,28.17
Slovakia,1162,57330,2.03%,12.74
Iraq,1088,81490,1.34%,30.55
Peru,1010,96345,1.05%,27.5
Kenya,1004,69213,1.45%,22.26
Unknown Region,966,50911,1.9%,27.24
Uzbekistan,951,54424,1.75%,23.02
Ghana,949,39012,2.43%,14.66
Cambodia,901,27074,3.33%,20.87
Myanmar (Burma),818,30015,2.73%,16
Tanzania,787,14020,5.61%,15.21
Albania,785,17815,4.41%,27.86
Algeria,750,59133,1.27%,28.24
Kuwait,733,23996,3.05%,27.77
Estonia,699,28213,2.48%,11.97
Bahrain,686,20616,3.33%,22.73
Uganda,677,19141,3.54%,12.56
Cyprus,668,24984,2.67%,24.22
Kazakhstan,629,52241,1.2%,20.61
Trinidad & Tobago,621,40509,1.53%,43.58
Moldova,572,16950,3.37%,25.7
Costa Rica,571,29551,1.93%,21.55
Azerbaijan,543,33280,1.63%,21.47
Armenia,541,23709,2.28%,15.96
Ecuador,537,105094,0.51%,46.56
Bosnia & Herzegovina,537,23180,2.32%,26.78
Georgia,491,29439,1.67%,22.89
Macedonia,475,14422,3.29%,21.08
Venezuela,437,63823,0.68%,33.01
Luxembourg,420,15887,2.64%,11.14
Tunisia,400,38838,1.03%,33.2
Jamaica,398,31934,1.25%,35.98
Palestine,391,15911,2.46%,20.83
Belarus,365,34029,1.07%,29.79
Malta,365,12919,2.83%,18.71
Libya,362,9286,3.9%,17.22
Bolivia,324,29833,1.09%,23.56
Panama,314,19195,1.64%,27.86
Uruguay,295,33246,0.89%,32.77
Fiji,295,3982,7.41%,13.52
Iceland,280,14027,2%,13.66
Dominican Republic,276,37658,0.73%,38.2
Mauritius,263,10152,2.59%,22.25
Namibia,247,5901,4.19%,16.23
Guatemala,211,24320,0.87%,23.1
Brunei,206,6537,3.15%,16.45
Honduras,186,16175,1.15%,29.86
El Salvador,184,14907,1.23%,26.94
Rwanda,181,8218,2.2%,14.47
Botswana,174,6640,2.62%,18.24
Somalia,173,4333,3.99%,18.92
