Date,Clicks,Impressions,CTR,Position
2025-11-26,2445,174913,1.4%,8.03
2025-11-25,2850,194269,1.47%,8
2025-11-24,3121,195586,1.6%,7.93
2025-11-23,1795,152295,1.18%,8.17
2025-11-22,1358,126930,1.07%,7.73
2025-11-21,2215,163594,1.35%,7.34
2025-11-20,2983,193614,1.54%,7.31
2025-11-19,3255,200204,1.63%,7.91
2025-11-18,3108,188432,1.65%,7.3
2025-11-17,3065,179970,1.7%,6.94
2025-11-16,1811,143429,1.26%,6.7
2025-11-15,1264,121257,1.04%,7.09
2025-11-14,2225,150820,1.48%,7.04
2025-11-13,2945,178684,1.65%,6.93
2025-11-12,3033,189218,1.6%,6.67
2025-11-11,2889,181593,1.59%,6.64
2025-11-10,2913,174275,1.67%,6.71
2025-11-09,1709,138171,1.24%,7.04
2025-11-08,1286,125594,1.02%,7.37
2025-11-07,2255,157909,1.43%,7.13
2025-11-06,3028,177046,1.71%,6.9
2025-11-05,3303,181730,1.82%,6.62
2025-11-04,3223,173350,1.86%,6.82
2025-11-03,3133,177002,1.77%,7.03
2025-11-02,1917,140187,1.37%,7.31
2025-11-01,1289,116729,1.1%,7.5
2025-10-31,2021,132750,1.52%,7.21
2025-10-30,2595,160073,1.62%,7.05
2025-10-29,2907,159760,1.82%,6.8
2025-10-28,3092,164207,1.88%,6.93
2025-10-27,2891,159726,1.81%,6.9
2025-10-26,1703,125980,1.35%,7.33
2025-10-25,1247,106880,1.17%,7.43
2025-10-24,2095,126325,1.66%,7.44
2025-10-23,2697,157835,1.71%,7.48
2025-10-22,3016,159360,1.89%,7.44
2025-10-21,2889,160926,1.8%,7.32
2025-10-20,2844,156955,1.81%,7.15
2025-10-19,1677,130176,1.29%,7.45
2025-10-18,1221,110506,1.1%,7.77
2025-10-17,2101,138218,1.52%,7.7
2025-10-16,2765,164769,1.68%,7.42
2025-10-15,2859,166664,1.72%,7.32
2025-10-14,3017,166313,1.81%,7.9
2025-10-13,2815,159030,1.77%,7.56
2025-10-12,1668,127028,1.31%,7.87
2025-10-11,1246,114578,1.09%,8.04
2025-10-10,2187,142500,1.53%,7.86
2025-10-09,2936,168195,1.75%,7.15
2025-10-08,2967,180761,1.64%,7.42
2025-10-07,2954,192586,1.53%,7.62
2025-10-06,2908,177867,1.63%,7.42
2025-10-05,1596,140956,1.13%,7.54
2025-10-04,1220,131699,0.93%,7.39
2025-10-03,2080,163498,1.27%,7.09
2025-10-02,2600,175398,1.48%,7.24
2025-10-01,2558,165956,1.54%,7.77
2025-09-30,2673,163961,1.63%,7.4
2025-09-29,2827,163167,1.73%,7.5
2025-09-28,1601,128020,1.25%,8.21
2025-09-27,1213,110440,1.1%,7.79
2025-09-26,2057,135260,1.52%,7.64
2025-09-25,2822,162396,1.74%,7.53
2025-09-24,2800,164226,1.7%,7.74
2025-09-23,2838,158170,1.79%,7.43
